Index,Checked,Date,Channel Name,Youtube Link,Subscribers,Average views
1,FALSE,May 26,Liger,https://www.youtube.com/channel/UCI5VdpO4T43G4-Vm9ohL--w,N/A,N/A
2,FALSE,May 26,McBirken,https://www.youtube.com/channel/UCQaNjJ7Iwx-l91F5_gBJhiQ,N/A,N/A
3,FALSE,May 26,Phoenix SC,https://www.youtube.com/user/phnixhamstasc,N/A,N/A
4,FALSE,May 26,Gamers React,https://www.youtube.com/channel/UCvInsdoSCTRGQNuXe7kMjhQ,N/A,N/A
5,FALSE,May 26,Beck Bro Jack,https://www.youtube.com/user/BeckBroJack,N/A,N/A
6,FALSE,May 26,Cookie,https://www.youtube.com/user/CookieSwirlC,N/A,N/A
7,FALSE,May 26,Bahri,https://www.youtube.com/channel/UCOFrSKpT2CFpv8rxSU4nlQg,N/A,N/A
8,FALSE,May 26,Bandi,https://www.youtube.com/channel/UC6DXR_JYNOC-znjhRVr_3kA,N/A,N/A
9,FALSE,June 5,GoodTimesWithScar,https://www.youtube.com/c/GoodTimesWithScar,N/A,N/A
,FALSE,June 5,Ph1LzA,https://www.youtube.com/user/Ph1LzA,N/A,N/A
,FALSE,June 5,Grian,https://www.youtube.com/user/Xelqua,N/A,N/A
,FALSE,June 5,xisumavoid,https://www.youtube.com/c/XisumavoidMC/videos,N/A,N/A
,FALSE,June 5,Forge Labs,https://www.youtube.com/c/ForgeLabs/videos,N/A,N/A
,FALSE,June 5,Mumbo Jumbo,https://www.youtube.com/user/ThatMumboJumbo,N/A,N/A
,FALSE,June 5,EthosLab,https://www.youtube.com/user/EthosLab,N/A,N/A
,FALSE,June 5,SmallishBeans,https://www.youtube.com/user/SmallishBeans,N/A,N/A
,FALSE,June 5,WiederDude,https://www.youtube.com/channel/UCpDNnvxEf3iWuJbtmUk6DnA/videos,N/A,N/A
,FALSE,June 5,LittleKellyPlayz,https://www.youtube.com/channel/UCWbHJTyhqEHoyfgZWwI6v1A,N/A,N/A
,FALSE,June 5,ldshadowlady,https://www.youtube.com/user/ldshadowlady,N/A,N/A
,FALSE,June 5,UnspeakableGaming,https://www.youtube.com/user/UnspeakableGaming/videos,N/A,N/A
,FALSE,June 5,TangoTekLP,https://www.youtube.com/user/TangoTekLP,N/A,N/A
,FALSE,June 5,Arbiter617,https://www.youtube.com/user/Arbiter617,N/A,N/A
,FALSE,June 5,Shark,https://www.youtube.com/channel/UCQVwQQvz8O_0aeFDBVcdhpg,N/A,N/A
,FALSE,June 5,Logdotzip,https://www.youtube.com/c/Logdotzip/videos,N/A,N/A
,FALSE,June 8,Mackenzie Turner Roblox ,https://www.youtube.com/channel/UC-W8qoCbIZmBOkLFSGFdyFw,1.15,N/A
,FALSE,June 8,InTheLittleWood,https://www.youtube.com/user/inthelittlewood,2.62,N/A
,FALSE,June 8,gattu,https://www.youtube.com/channel/UCPIzPN_V3Wk2KN5wIK3Kwsg,3.15,N/A
