Table 1,,,,,,
P/No,Function,Database,Source,Options,Use/Purpose,
1,Extract,YouTube Database,Internal,,Extract Data From Youtube,
2,Transform,YouTube Databse,Internal,,Process Data based on Needs,
3,LoadToProspectDB,YouTube Database,Internal,,Load Data in Prospect Database,
4,Create,Prospect Database,Internal,,Creates Prospect Database,
5,Update/Edit,Prospect Database,Internal,,Update/Edit Prospect Database,
6,Get/List,Prospect Database,Internal,Sort by Relevance (machine learning),Viewing Prospect Database,
7,Save,Prospect Database,Internal,,Saving New Prospects,
8,Delete,Prospect Database,Internal,,Delete Prospect(s) from Database,
9,LoadToMasterlistDB,Prospect Database,Internal,,Loading Prospects Into Masterlist,
10,Create,Masterlist Database,Internal,,Creates Masterlist Database,
11,GenerateBio,Masterlist Database,Internal ,Advanced (machine learning),Autogenerated Bio,
12,Update/Edit,Masterlist Database,Internal,,Update/Edit Masterlist Database,
13,Get/List,Masterlist Database,Internal,Sort by Blank Fields (machine learning),Viewing Masterlist Database,
14,Save,Masterlist Database,Internal,,Saving talents in New Masterlist Database,
15,Delete,Masterlist Database,Internal,,Removing talent(s) from Masterlist,
16,ExportToMailshake,Masterlist Database,Internal,,Export to Mailshake format,
17,CreateCampaign,Masterlist Database,Mailshake,,Creating email campaigns,
18,SendCampaign,Masterlist Database,Mailshake,,Sending emails/campaigns,
19,Create ,Talent Neg Database,Internal,,Creating Negotiation Database,
20,Update/Edit,Talent Neg Database,Internal,,Updating/Editing Negotiation Database,
21,Get/List,Talent Neg Database,Internal,,Viewing negotiations in Negotiation Database,
22,Save,Talent Neg Database,Internal,,Saving messages in Negotiation Database,
23,Delete,Talent Neg Database,Internal,,Removing messages in Negotiation Database,
18,MonitorTalents,Talent Neg Database,Internal/Mailshake,,Listening to talent responses/updates,
19,ReplyResponses,Talent Neg Database,Internal/Mailshake,,Sending messages to talents,
20,Create ,Talent Deal Database,Internal,,Creates Talent Deal Database,
21,Update/Edit,Talent Deal Database,Internal,,Updating/Editing Talent Deal Database,
22,Get/List,Talent Deal Database,Internal,Sort by Relevance & Price (machine learning),Viewing Talent Deal Database,
23,Save,Talent Deal Database,Internal,,Saving deals in Talent Deal Database,
24,Delete,Talent Deal Database,Internal,,Removing deals from Talent Deal Database,
25,GetForClient,Talent Deal Database,Internal,,Client Viewing for Talent Deal Database,
26,SendDealToClient,Talent Deal Database,Internal,,Sending Talent Deal Database To Cients,
27,ConfirmDealForClient,Talent Deal Database,Internal,,For Confirming Deals by Clients,
28,GetForTalent,Talent Deal Database,Internal,,Talent Viewing for Talent Deal Database,
29,ConfirmDealForTalent,Talent Deal Database,Internal,,For Confirming Deals by Clients,
30,Create,Invoice Database,Internal,,Creating Invoice Database,
31,Update/Edit,Invoice Database,Internal,,Updating/Editing Invoice Database,
32,Get/List,Invoice Database,Internal,,Viewing Invoice Database,
33,Save,Invoice Database,Internal,,Saving invoice in Invoice Database,
34,Delete,Invoice Database,Internal,,Deleting invoice from Invoice Database,
35,ForwardToPayment,Invoice Database,Internal,,Forward Page to Payment Gateway Plugin,
,,,,,,
,,,,,,
P/No,Events,Objects/Database,Source,Callback Options,Description,
1,OnTalentResponse,Talent Neg Database,Internal,Update & Notify Management,Event listener always listening for talents response to automatically trigger a function,
2,OnClientResponse,Talent Deal Database,Internal,Update & Notify Management,,
3,OnTalentStateChange,Talent Neg Database,Internal,Update & Notify Management,Event listener always listening for talents state change to automatically trigger a function,
4,OnClientStateChange,Talent Deal Database,Internal,Update & Notify Management,,
5,OnReplySent,Talent Neg Database,Internal,Update & Notify Management,Event listener always listening for any  replies sent to talents to automatically trigger a function,
6,OnTalentDealClosed,Talent Neg Database,Internal,Update & Notify Management,Event listener always listening for talents deal closed to automatically trigger a function,
7,OnClientDealClosed,Talent Deal Database,Internal,Update & Notify Management,,
8,OnClientConfirmed,Talent Neg Database,Internal,Update & Notify Management,Event listener always listening for client’s confirmation to automatically trigger a function,
9,,,Internal,Update & Notify Management,,
